"DAY_OF_MONTH","DAY_OF_WEEK","OP_CARRIER_AIRLINE_ID","OP_CARRIER","OP_CARRIER_FL_NUM","ORIGIN_AIRPORT_ID","DEST_AIRPORT_ID","DEP_DEL15","ARR_DEL15","CANCELLED","DIVERTED","DISTANCE"
"260196",14,2,20304,13,3831,11986,13487,1,"0",0,0,408
"62240",4,6,19805,2,2188,11298,14027,1,"0",0,0,1102
"296251",16,4,19805,2,1998,11057,15016,2,"1",0,0,575
"509691",27,1,20304,13,3606,10849,14869,1,"1",0,0,347
"78383",5,7,19805,2,1811,15304,11057,1,"0",0,0,507
"157322",9,4,20398,10,3549,11057,15323,1,"0",0,0,119
"150385",8,3,19977,14,1808,12266,13158,2,"1",0,0,429
"57325",3,5,19393,15,1375,11193,13232,1,"0",0,0,249
"392436",21,2,20416,11,1223,11697,11292,1,"0",0,0,1703
"431214",23,4,20378,16,5745,14730,11298,1,"0",0,0,733
"137548",8,3,20398,10,3406,11203,13930,1,"0",0,0,213
"124998",7,2,19977,14,669,13930,10792,1,"0",0,0,473
"442436",23,4,19805,2,2169,10721,11278,1,"0",0,0,399
"76905",4,6,20363,1,5111,11042,10721,2,"1",0,0,563
"455204",24,5,20452,17,3460,11292,12339,1,"0",0,0,977
"254789",14,2,19790,5,1776,13487,11278,1,"0",0,0,931
"175707",9,4,19393,15,1656,10721,10821,1,"0",0,0,369
"76464",4,6,20452,17,4593,15016,13303,1,"0",0,0,1068
"559246",30,4,20368,8,712,12889,10666,1,"0",0,0,954
"371600",20,1,19805,2,1290,14107,12889,1,"0",0,0,255
"164717",9,4,19790,5,414,13204,10397,1,"0",0,0,404
"540290",29,3,19805,2,1773,11057,15304,1,"0",0,0,507
"461873",24,5,19977,14,1197,11618,14027,1,"0",0,0,1023
"147076",8,3,20416,11,918,11292,11298,1,"0",0,0,641
"222588",12,7,20416,11,235,10158,11697,2,"1",0,0,977
"168983",9,4,20398,10,4117,12191,11298,1,"1",0,0,247
"284457",15,3,20304,13,5846,12992,12266,1,"0",0,0,374
"268425",14,2,19393,15,1065,10821,14027,1,"0",0,0,883
"277779",15,3,19393,15,939,15016,13232,1,"0",0,0,251
"123294",7,2,19790,5,2446,13204,11433,1,"0",0,0,957
"458448",24,5,19790,5,600,11433,11278,1,"0",0,0,405
"501840",27,1,19790,5,1043,12451,12478,1,"0",0,0,828
"269437",14,2,19393,15,816,12889,14679,1,"0",0,0,258
"326046",17,5,19805,2,6,13830,11298,2,"1",0,0,3711
"83123",5,7,20397,12,5474,15919,11057,1,"1",0,0,754
"167218",9,4,19790,5,2837,12889,14747,1,"1",0,0,867
"252855",14,2,20398,10,3640,11986,13930,1,"0",0,0,137
"309471",16,4,19977,14,1871,11618,12892,2,"1",0,0,2454
"446491",24,5,20304,13,5423,10693,12266,1,"0",0,0,657
"485651",26,7,19930,3,1069,12264,14771,1,"0",0,0,2419
"391352",21,2,19690,9,376,12173,13830,1,"0",0,0,100
"381656",20,1,19790,5,2908,10397,14679,1,"0",0,0,1892
"51728",3,5,20368,8,96,12889,14783,1,"0",0,0,1209
"140253",8,3,20366,6,4478,13930,11278,2,"1",0,0,612
"564210",30,4,20452,17,4455,10693,12953,1,"0",0,0,764
"398432",21,2,20304,13,4549,14869,10713,1,"0",0,0,290
"203143",11,6,20397,12,5449,10990,11057,1,"0",0,0,245
"595911",31,5,20409,4,527,11618,13204,1,"0",0,0,937
"191047",10,5,20363,1,5091,10990,12953,1,"0",0,0,305
"527002",28,2,19393,15,1425,13796,14747,1,"0",0,0,672
"563031",30,4,19930,3,150,10299,12892,1,"0",0,0,2345
"177027",9,4,19393,15,1308,12889,15376,1,"0",0,0,365
"593098",31,5,20397,12,5034,10980,11057,1,"0",0,0,241
"237521",13,1,20452,17,3604,15919,12266,1,"0",0,0,438
"381245",20,1,19790,5,2488,10721,14771,1,"0",0,0,2704
"575910",30,4,20398,10,4053,10792,13930,1,"0",0,0,473
"111036",6,1,19690,9,145,13830,12173,1,"0",0,0,100
"401051",21,2,19393,15,644,13495,12191,1,"0",0,0,302
"354440",19,7,20416,11,388,12889,11433,1,"0",0,0,1749
"124912",7,2,19977,14,744,11292,12892,1,"0",0,0,862
"180607",10,5,19393,15,2098,14831,10800,1,"0",0,0,296
"4758",1,3,20363,1,5371,11996,10397,1,"0",0,0,153
"497424",26,7,20304,13,4311,11122,14869,1,"0",0,0,320
"64931",4,6,20366,6,4095,12266,11540,1,"0",0,0,667
"488148",26,7,19790,5,2293,10397,11540,1,"0",0,0,1282
"208838",11,6,20409,4,352,13204,10721,1,"0",0,0,1121
"266115",14,2,19790,5,1162,12892,12478,1,"0",0,0,2475
"356497",19,7,20436,7,1446,15304,13930,2,"0",0,0,1011
"267635",14,2,19393,15,1921,14908,14831,1,"0",0,0,342
"199430",11,6,19977,14,1920,12266,12953,1,"0",0,0,1416
"555505",29,3,19805,2,2464,13930,12889,2,"1",0,0,1514
"112057",6,1,20416,11,1736,11697,14524,1,"0",0,0,805
"526835",28,2,19393,15,978,13487,10693,1,"0",0,0,695
"314345",17,5,19805,2,2146,10721,12953,2,"1",0,0,184
"342833",18,6,20304,13,3111,13930,10990,1,"0",0,0,566
"24470",2,4,20366,6,4381,11618,13485,1,"0",0,0,799
"370454",20,1,20397,12,5229,11996,14100,1,"0",0,0,515
"320957",17,5,19393,15,586,15304,10599,1,"0",0,0,459
"309970",16,4,19977,14,771,13930,11298,1,"0",0,0,801
"57042",3,5,19393,15,1600,10821,10529,2,"1",0,0,283
"415174",22,3,19393,15,1039,15304,15016,1,"0",0,0,869
"134417",7,2,19930,3,1486,12892,12889,2,"1",0,0,236
"188984",10,5,20398,10,4059,13930,11721,1,"0",0,0,223
"379708",20,1,19790,5,1095,10397,10868,1,"0",0,0,192
"274771",15,3,19393,15,836,10821,10693,1,"0",0,0,587
"404810",22,3,19805,2,2755,11298,14747,1,"0",0,0,1660
"381356",20,1,19790,5,2594,11278,10397,1,"0",0,0,547
"592139",31,5,19393,15,1424,14893,14679,1,"0",0,0,480
"336078",18,6,20397,12,5469,10792,11278,1,"0",0,0,296
"154848",8,3,20398,10,4100,11298,11921,1,"0",0,0,773
"98978",6,1,19930,3,642,14747,13871,2,"0",0,0,1368
"411786",22,3,20304,13,3337,10713,14057,1,"0",0,0,344
"466834",25,6,19790,5,2679,10397,10821,1,"0",0,0,577
"518655",27,1,19393,15,180,10821,11292,1,"0",0,0,1491
"364936",20,1,19930,3,578,14747,10800,1,"0",0,0,937
"53982",3,5,19805,2,2189,14683,13930,1,"0",0,0,1041
"176170",9,4,19393,15,928,11259,13204,1,"0",0,0,973
"118075",6,1,20363,1,5350,12448,10397,1,"0",0,0,341
"477158",25,6,20304,13,5886,12892,13485,1,"0",0,0,1687
"300668",16,4,19790,5,2183,10397,13930,1,"0",0,0,606
"6259",1,3,19805,2,2107,10140,14107,1,"0",0,0,328
"54873",3,5,19790,5,1272,11433,13244,1,"0",0,0,610
"454181",24,5,19805,2,970,12953,13303,1,"0",0,0,1096
"52511",3,5,20409,4,917,10721,12478,1,"0",0,0,187
"122557",7,2,19805,2,1287,12953,10397,1,"0",0,0,762
"395653",21,2,20409,4,1201,12478,11697,1,"0",0,0,1069
"503525",27,1,19790,5,2506,10397,11481,1,"0",0,0,240
"118897",7,2,20398,10,3835,11042,13930,1,"0",0,0,315
"489048",26,7,19977,14,2213,12441,11618,1,"0",0,0,1874
"380629",20,1,19790,5,1913,10397,12992,1,"0",0,0,453
